FRO,Europe,Faeroe Islands,1/10/2020,467,4,0,0,9556.943,0,48865
GAB,Africa,Gabon,1/10/2020,8766,14,54,0,3938.487,24.262,2225728
GBR,Europe,United Kingdom,1/10/2020,453264,7108,42143,71,6676.84,620.791,67886004
GEO,Asia,Georgia,1/10/2020,6640,774,39,6,1664.505,9.776,3989175
GGY,Europe,Guernsey,1/10/2020,256,0,13,0,3817.932,193.879,67052
GHA,Africa,Ghana,1/10/2020,46656,174,301,0,1501.499,9.687,31072945
GIB,Europe,Gibraltar,1/10/2020,396,5,0,0,11753.881,0,33691
GIN,Africa,Guinea,1/10/2020,10652,18,66,0,811.099,5.026,13132792
GMB,Africa,Gambia,1/10/2020,3579,0,112,0,1480.967,46.345,2416664
GNB,Africa,Guinea-Bissau,1/10/2020,2324,0,39,0,1180.896,19.817,1967998
GNQ,Africa,Equatorial Guinea,1/10/2020,5030,0,83,0,3585.213,59.16,1402985
GRC,Europe,Greece,1/10/2020,18475,352,391,3,1772.513,37.513,10423056
GRD,North America,Grenada,1/10/2020,24,0,0,0,213.297,0,112519
GRL,North America,Greenland,1/10/2020,14,0,0,0,246.6,0,56772
GTM,North America,Guatemala,1/10/2020,91746,778,3246,8,5121.021,181.183,17915567
GUM,Oceania,Guam,1/10/2020,2443,0,47,0,14474.207,278.464,168783
GUY,South America,Guyana,1/10/2020,2894,48,80,2,3679.317,101.709,786559
HND,North America,Honduras,1/10/2020,76900,802,2353,30,7764.063,237.566,9904608
HRV,Europe,Croatia,1/10/2020,16593,213,280,5,4041.88,68.205,4105268
HTI,North America,Haiti,1/10/2020,8766,19,229,0,768.777,20.083,11402533
HUN,Europe,Hungary,1/10/2020,27309,848,781,16,2826.916,80.846,9660350
IDN,Asia,Indonesia,1/10/2020,287008,4284,10740,139,1049.299,39.265,273523621
IMN,Europe,Isle of Man,1/10/2020,340,0,24,0,3998.495,282.247,85032
IND,Asia,India,1/10/2020,6312584,86821,98678,1181,4574.322,71.506,1380004385
IRL,Europe,Ireland,1/10/2020,36155,415,1804,1,7322.093,365.345,4937796
IRN,Asia,Iran,1/10/2020,457219,3582,26169,183,5443.54,311.562,83992953
IRQ,Asia,Iraq,1/10/2020,362981,4691,9181,59,9024.327,228.255,40222503
ISL,Europe,Iceland,1/10/2020,2728,33,10,0,7994.139,29.304,341250
ISR,Asia,Israel,1/10/2020,248133,11207,1571,43,28667.532,181.502,8655541
ITA,Europe,Italy,1/10/2020,314861,1850,35894,19,5207.6,593.664,60461828
JAM,North America,Jamaica,1/10/2020,6462,80,107,7,2182.252,36.134,2961161
JEY,Europe,Jersey,1/10/2020,414,5,32,0,4096.049,316.603,101073
JOR,Asia,Jordan,1/10/2020,11825,1776,61,4,1158.957,5.979,10203140
JPN,Asia,Japan,1/10/2020,83010,0,1564,0,656.328,12.366,126476458
KAZ,Asia,Kazakhstan,1/10/2020,140958,251,2080,2,7507.067,110.776,18776707
KEN,Africa,Kenya,1/10/2020,38529,151,711,4,716.535,13.223,53771300
KGZ,Asia,Kyrgyzstan,1/10/2020,46841,172,1065,1,7179.587,163.239,6524191
KHM,Asia,Cambodia,1/10/2020,277,0,0,0,16.568,0,16718971
KNA,North America,Saint Kitts and Nevis,1/10/2020,19,0,0,0,357.197,0,53192
KOR,Asia,South Korea,1/10/2020,23812,0,413,0,464.451,8.056,51269183
KWT,Asia,Kuwait,1/10/2020,105182,614,610,3,24629.539,142.838,4270563
LAO,Asia,Laos,1/10/2020,23,0,0,0,3.161,0,7275556
LBN,Asia,Lebanon,1/10/2020,39634,1257,367,6,5806.803,53.769,6825442
LBR,Africa,Liberia,1/10/2020,1343,0,82,0,265.537,16.213,5057677
LBY,Africa,Libya,1/10/2020,34525,511,551,11,5024.532,80.189,6871287
LCA,North America,Saint Lucia,1/10/2020,27,0,0,0,147.036,0,183629
LIE,Europe,Liechtenstein,1/10/2020,120,0,1,0,3146.551,26.221,38137
LKA,Asia,Sri Lanka,1/10/2020,3380,6,13,0,157.846,0.607,21413250
LSO,Africa,Lesotho,1/10/2020,1595,19,36,1,744.544,16.805,2142252
LTU,Europe,Lithuania,1/10/2020,4693,115,92,0,1723.916,33.795,2722291
LUX,Europe,Luxembourg,1/10/2020,8509,78,124,0,13593.173,198.091,625976
LVA,Europe,Latvia,1/10/2020,1824,95,37,0,967.023,19.616,1886202
MAR,Africa,Morocco,1/10/2020,123653,2470,2194,42,3350.071,59.441,36910558
MCO,Europe,Monaco,1/10/2020,218,4,1,0,5554.989,25.482,39244
MDA,Europe,Moldova,1/10/2020,53042,1013,1320,10,13148.856,327.222,4033963
MDG,Africa,Madagascar,1/10/2020,16408,31,230,1,592.539,8.306,27691019
MDV,Asia,Maldives,1/10/2020,10291,97,34,0,19038.299,62.9,540542
MEX,North America,Mexico,1/10/2020,743216,5053,77646,483,5764.369,602.221,128932753
MKD,Europe,Macedonia,1/10/2020,17977,191,739,2,8628.767,354.712,2083380
MLI,Africa,Mali,1/10/2020,3118,28,131,1,153.969,6.469,20250834
MLT,Europe,Malta,1/10/2020,3058,23,34,0,6925.776,77.003,441539
MMR,Asia,Myanmar,1/10/2020,13373,948,310,26,245.783,5.698,54409794
MNE,Europe,Montenegro,1/10/2020,10772,197,169,5,17151.173,269.082,628062
MNG,Asia,Mongolia,1/10/2020,313,0,0,0,95.477,0,3278292
MNP,Oceania,Northern Mariana Islands,1/10/2020,70,0,2,0,1216.186,34.748,57557
MOZ,Africa,Mozambique,1/10/2020,8728,172,61,2,279.247,1.952,31255435
MRT,Africa,Mauritania,1/10/2020,7488,14,161,0,1610.44,34.626,4649660
MSR,North America,Montserrat,1/10/2020,13,0,1,0,2600.52,200.04,4999
MUS,Africa,Mauritius,1/10/2020,381,0,10,0,299.583,7.863,1271767
MWI,Africa,Malawi,1/10/2020,5773,1,179,0,301.778,9.357,19129955
