SLV,North America,El Salvador,15/08/2020,22314,321,595,11,3440.226,91.733,6486201,307.811,
GNQ,Africa,Equatorial Guinea,15/08/2020,4821,0,83,0,3436.245,59.16,1402985,45.194,
ERI,Africa,Eritrea,15/08/2020,285,0,0,0,80.363,0,3546427,44.304,
EST,Europe,Estonia,15/08/2020,2177,3,63,0,1641.113,47.492,1326539,31.033,
ETH,Africa,Ethiopia,15/08/2020,27242,1038,492,13,236.962,4.28,114963583,104.957,
FRO,Europe,Faeroe Islands,15/08/2020,362,0,0,0,7408.165,0,48865,35.308,
FLK,South America,Falkland Islands,15/08/2020,13,0,0,0,3732.415,0,3483,,
FJI,Oceania,Fiji,15/08/2020,27,0,1,0,30.119,1.116,896444,49.562,
FIN,Europe,Finland,15/08/2020,7700,17,333,0,1389.712,60.101,5540718,18.136,
FRA,Europe,France,15/08/2020,212211,2846,30406,18,3251.104,465.824,65273512,122.578,
PYF,Oceania,French Polynesia,15/08/2020,166,16,0,0,590.949,0,280904,77.324,
GAB,Africa,Gabon,15/08/2020,8225,148,51,0,3695.42,22.914,2225728,7.859,
GMB,Africa,Gambia,15/08/2020,1623,67,50,7,671.587,20.69,2416664,207.566,
GEO,Asia,Georgia,15/08/2020,1306,0,17,0,327.386,4.262,3989175,65.032,
DEU,Europe,Germany,15/08/2020,222828,1415,9231,6,2659.555,110.176,83783945,237.016,
GHA,Africa,Ghana,15/08/2020,42063,216,231,8,1353.686,7.434,31072945,126.719,
GIB,Europe,Gibraltar,15/08/2020,206,1,0,0,6114.393,0,33691,3457.1,
GRC,Europe,Greece,15/08/2020,6632,251,223,2,636.282,21.395,10423056,83.479,
GRL,North America,Greenland,15/08/2020,14,0,0,0,246.6,0,56772,0.137,
GRD,North America,Grenada,15/08/2020,24,0,0,0,213.297,0,112519,317.132,
GUM,Oceania,Guam,15/08/2020,502,25,5,0,2974.233,29.624,168783,304.128,
GTM,North America,Guatemala,15/08/2020,61428,1144,2341,45,3428.75,130.668,17915567,157.834,
GGY,Europe,Guernsey,15/08/2020,252,0,13,0,3758.277,193.879,67052,,
GIN,Africa,Guinea,15/08/2020,8260,62,50,0,628.96,3.807,13132792,51.755,
GNB,Africa,Guinea-Bissau,15/08/2020,2052,0,29,0,1042.684,14.736,1967998,66.191,
GUY,South America,Guyana,15/08/2020,649,18,22,0,825.113,27.97,786559,3.952,
HTI,North America,Haiti,15/08/2020,7831,21,196,4,686.777,17.189,11402533,398.448,
HND,North America,Honduras,15/08/2020,49467,425,1548,6,4994.342,156.291,9904608,82.805,
HUN,Europe,Hungary,15/08/2020,4853,40,607,0,502.363,62.834,9660350,108.043,
ISL,Europe,Iceland,15/08/2020,1983,7,10,0,5810.989,29.304,341250,3.404,
IND,Asia,India,15/08/2020,2526192,65002,49036,996,1830.568,35.533,1380004385,450.419,
IDN,Asia,Indonesia,15/08/2020,135123,2307,6021,53,494.009,22.013,273523621,145.725,
IRN,Asia,Iran,15/08/2020,338825,2501,19331,169,4033.969,230.15,83992953,49.831,
IRQ,Asia,Iraq,15/08/2020,168290,4013,5709,68,4183.976,141.935,40222503,88.125,
IRL,Europe,Ireland,15/08/2020,26955,26,1774,0,5458.913,359.27,4937796,69.874,
IMN,Europe,Isle of Man,15/08/2020,336,0,24,0,3951.454,282.247,85032,147.872,
ISR,Asia,Israel,15/08/2020,91080,1258,665,14,10522.739,76.829,8655541,402.606,
ITA,Europe,Italy,15/08/2020,252809,574,35234,3,4181.299,582.748,60461828,205.859,
JAM,North America,Jamaica,15/08/2020,1082,11,14,0,365.397,4.728,2961161,266.879,
JPN,Asia,Japan,15/08/2020,53577,2064,1085,13,423.612,8.579,126476458,347.778,
JEY,Europe,Jersey,15/08/2020,356,4,31,0,3522.207,306.709,101073,,
JOR,Asia,Jordan,15/08/2020,1329,9,11,0,130.254,1.078,10203140,109.285,
KAZ,Asia,Kazakhstan,15/08/2020,119781,1267,1480,47,6379.234,78.821,18776707,6.681,
KEN,Africa,Kenya,15/08/2020,29334,580,465,5,545.533,8.648,53771300,87.324,
OWID_KOS,Europe,Kosovo,15/08/2020,11130,335,381,16,5758.563,197.126,1932774,168.155,
KWT,Asia,Kuwait,15/08/2020,75185,699,494,5,17605.407,115.676,4270563,232.128,
KGZ,Asia,Kyrgyzstan,15/08/2020,41373,304,1491,4,6341.476,228.534,6524191,32.333,
LAO,Asia,Laos,15/08/2020,20,0,0,0,2.749,0,7275556,29.715,
LVA,Europe,Latvia,15/08/2020,1308,1,32,0,693.457,16.965,1886202,31.212,
LBN,Asia,Lebanon,15/08/2020,8045,334,94,2,1178.678,13.772,6825442,594.561,
LSO,Africa,Lesotho,15/08/2020,884,69,25,1,412.65,11.67,2142252,73.562,
LBR,Africa,Liberia,15/08/2020,1252,0,82,0,247.544,16.213,5057677,49.127,
LBY,Africa,Libya,15/08/2020,7327,277,139,4,1066.321,20.229,6871287,3.623,
LIE,Europe,Liechtenstein,15/08/2020,91,0,1,0,2386.134,26.221,38137,237.012,
LTU,Europe,Lithuania,15/08/2020,2352,22,81,0,863.978,29.754,2722291,45.135,
LUX,Europe,Luxembourg,15/08/2020,7405,37,122,0,11829.527,194.896,625976,231.447,
MKD,Europe,Macedonia,15/08/2020,12546,189,535,3,6021.945,256.794,2083380,82.6,
MDG,Africa,Madagascar,15/08/2020,13643,121,164,2,492.687,5.922,27691019,43.951,
MWI,Africa,Malawi,15/08/2020,4988,76,156,3,260.743,8.155,19129955,197.519,
MYS,Asia,Malaysia,15/08/2020,9149,20,125,0,282.673,3.862,32365998,96.254,
MDV,Asia,Maldives,15/08/2020,5572,78,22,1,10308.172,40.7,540542,1454.433,
MLI,Africa,Mali,15/08/2020,2597,0,125,0,128.242,6.173,20250834,15.196,
MLT,Europe,Malta,15/08/2020,1175,31,9,0,2661.147,20.383,441539,1454.037,
MRT,Africa,Mauritania,15/08/2020,6622,0,157,0,1424.19,33.766,4649660,4.289,
MUS,Africa,Mauritius,15/08/2020,344,0,10,0,270.49,7.863,1271767,622.962,
MEX,North America,Mexico,15/08/2020,511369,5618,55908,615,3966.168,433.621,128932753,66.444,
MDA,Europe,Moldova,15/08/2020,29483,396,884,6,7308.694,219.139,4033963,123.655,
MCO,Europe,Monaco,15/08/2020,146,2,4,0,3720.314,101.926,39244,19347.5,
MNG,Asia,Mongolia,15/08/2020,298,1,0,0,90.901,0,3278292,1.98,
MNE,Europe,Montenegro,15/08/2020,3930,73,73,0,6257.344,116.231,628062,46.28,
MSR,North America,Montserrat,15/08/2020,13,0,1,0,2600.52,200.04,4999,,
MAR,Africa,Morocco,15/08/2020,39241,1306,611,27,1063.138,16.554,36910558,80.08,
MOZ,Africa,Mozambique,15/08/2020,2708,70,19,0,86.641,0.608,31255435,37.728,
MMR,Asia,Myanmar,15/08/2020,374,5,6,0,6.874,0.11,54409794,81.721,
NAM,Africa,Namibia,15/08/2020,3726,182,31,4,1466.4,12.2,2540916,3.078,
NPL,Asia,Nepal,15/08/2020,25551,594,99,4,876.932,3.398,29136808,204.43,
NLD,Europe,Netherlands,15/08/2020,61785,636,6158,2,3605.804,359.384,17134873,508.544,
NCL,Oceania,New Caledonia,15/08/2020,23,0,0,0,80.563,0,285491,15.342,
NZL,Oceania,New Zealand,15/08/2020,1258,7,22,0,260.875,4.562,4822233,18.206,
NIC,North America,Nicaragua,15/08/2020,4115,0,128,0,621.174,19.322,6624554,51.667,
NER,Africa,Niger,15/08/2020,1165,4,69,0,48.127,2.85,24206636,16.955,
NGA,Africa,Nigeria,15/08/2020,48445,329,973,7,235.011,4.72,206139587,209.588,
MNP,Oceania,Northern Mariana Islands,15/08/2020,50,1,2,0,868.704,34.748,57557,119.878,
NOR,Europe,Norway,15/08/2020,9850,67,261,4,1816.927,48.144,5421242,14.462,
OMN,Asia,Oman,15/08/2020,82743,212,557,6,16203.079,109.074,5106622,14.98,
PAK,Asia,Pakistan,15/08/2020,288047,747,6162,9,1304.015,27.896,220892331,255.573,
PSE,Asia,Palestine,15/08/2020,21056,531,116,1,4127.481,22.739,5101416,778.202,
PAN,North America,Panama,15/08/2020,79402,956,1734,12,18402.38,401.876,4314768,55.133,
PNG,Oceania,Papua New Guinea,15/08/2020,271,0,3,0,30.289,0.335,8947027,18.22,
PRY,South America,Paraguay,15/08/2020,9077,688,108,11,1272.62,15.142,7132530,17.144,
PER,South America,Peru,15/08/2020,516296,8300,25856,208,15658.693,784.184,32971846,25.129,
PHL,Asia,Philippines,15/08/2020,153660,6134,2442,16,1402.249,22.285,109581085,351.873,
POL,Europe,Poland,15/08/2020,55319,832,1858,14,1461.663,49.093,37846605,124.027,
PRT,Europe,Portugal,15/08/2020,53783,235,1772,2,5274.546,173.782,10196707,112.371,
PRI,North America,Puerto Rico,15/08/2020,25128,682,311,5,8783.434,108.709,2860840,376.232,
QAT,Asia,Qatar,15/08/2020,114532,251,190,0,39753.424,65.948,2881060,227.322,
ROU,Europe,Romania,15/08/2020,68046,1415,2904,44,3537.121,150.954,19237682,85.129,
RUS,Europe,Russia,15/08/2020,912823,5065,15498,114,6255.02,106.198,145934460,8.823,
RWA,Africa,Rwanda,15/08/2020,2293,93,8,0,177.035,0.618,12952209,494.869,
KNA,North America,Saint Kitts and Nevis,15/08/2020,17,0,0,0,319.597,0,53192,212.865,
LCA,North America,Saint Lucia,15/08/2020,25,0,0,0,136.144,0,183629,293.187,
VCT,North America,Saint Vincent and the Grenadines,15/08/2020,57,0,0,0,513.759,0,110947,281.787,
SMR,Europe,San Marino,15/08/2020,719,0,42,0,21185.692,1237.551,33938,556.667,
STP,Africa,Sao Tome and Principe,15/08/2020,883,1,15,0,4029.002,68.443,219161,212.841,
SAU,Asia,Saudi Arabia,15/08/2020,295902,1383,3338,35,8499.544,95.881,34813867,15.322,
SEN,Africa,Senegal,15/08/2020,11872,132,249,5,709.033,14.871,16743930,82.328,
SRB,Europe,Serbia,15/08/2020,29233,235,665,4,4296.067,97.728,6804596,80.291,
SYC,Africa,Seychelles,15/08/2020,127,0,0,0,1291.438,0,98340,208.354,
SLE,Africa,Sierra Leone,15/08/2020,1947,7,69,0,244.077,8.65,7976985,104.7,
